"text","labels","lang"
"Because we've lived through it .","1, 5","en"
"Been trying to raise him for hours .","1","en"
"Before I heard about the bombing .","1, 4, 6","en"
"Behave yourself .","1","en"
"Being right ain't gonna do us any good .","1","en"
"Believe me , I do . I think about it every goddamn day of my fucking life .","1, 3","en"
"[PERSON] , move it !","1, 2","en"
"[PERSON] , I'm disappointed in you . Hiding under a nest while [PERSON] needs help .","1, 6","en"
"[PERSON] must be crazy .","1","en"
"Besides , according to your story , you weren't exactly 100 % scientist after you took it .","1","en"
"Besides , I have to go to the goddamn senior honours dinner tonight .","1","en"
"[PERSON] , is you going out of your mind ?","1","en"
"Better open this door , [PERSON] .","1","en"
"Better than yours .","1, 3","en"
"Between the cousins and neighbors , there were kids , always causing trouble together .","1","en"
"Big time hurt ! Back !","1, 4","en"
"Bigger than you .","1, 3","en"
"Bit dicey .","1, 3","en"
"Bitch !","1, 3","en"
"Blast off .","1","en"
"Bloody woman .","1","en"
"Blow it , [PERSON] !","1","en"
"Blowing them up .","1, 4","en"
"Blue , pink , yellow or orange ? - Green .","1","en"
"[PERSON] continued to invade your privacy .","1","en"
"Boys ...","1","en"
"Break every mirror in the palace .","1","en"
"Break it up . Break it up .","1, 4","en"
"Bridge ...","1","en"
"Bring her back , girls , alive !","1","en"
"Bring her in later .","1, 4","en"
"Bring her .","1, 3, 4","en"
"Bring him to me !","1, 4","en"
"Bring him .","1, 3","en"
"Bring my gun when you come back !","1","en"
"Bringin' her home in the middle of the night wouldn't help anybody , especially her .","1","en"
"Bullshit !","1, 3","en"
"Bullshit ! What do you see ?","1, 2","en"
"Bullshit .","1, 7","en"
"Burglars !","1, 4","en"
"Burn this !","1, 3, 4","en"
"Bury them for 24 , hours , give me time !","1","en"
"Busted .","1, 4","en"
"But a crime was committed here and I'm going after her for it .","1, 2","en"
"But don't let them take the boots .","8, 1","en"
"But get on with it !","1","en"
"But hair just keeps on sprouting .","1, 3","en"
"But he didn't give a shit .","1","en"
"But he kept it to himself . He kept a lot to himself .","1, 6","en"
"But hell , what a cop .","8, 1, 3","en"
"But I do , I beat their time .","1","en"
"But I don't give up so easily .","1","en"
"But I don't know why because we're just having a nice evening at home watching a movie .","1","en"
"But I just escaped from here ! Don't you understand ?","1","en"
"But I need to know where it is .","1","en"
"But I won't stand it any longer .","1","en"
"But I'm always going to be a killer .","1","en"
"But if the last powder was taken there is two days it can not be very important .","1","en"
"But if you care about us , you do not do this .","8, 1, 6","en"
"But if you do not work hard you will be punished .","1","en"
"But if you're asking me what I want to do , I'm telling you that I haven't decided .","1","en"
"But it soon became obvious that the senor was only mildly interested in the available talent .","1, 6","en"
"But it's not real .","1, 3","en"
"But it's The Neverending Story . I've already read it .","1, 3","en"
"But [PERSON] never speaks with me , it will be possible to avoid it .","8, 1, 6","en"
"But my shirt is wet .","1","en"
"But no , you had to be your stupid , stubborn , son of a bitch self .","1, 3","en"
"But since you insist on being treated as one , I have no choice but to oblige you .","1, 3, 5","en"
"But there is a problem .","1, 6","en"
"But there's no support for this appealing idea .","1, 2, 4, 5, 6, 7","en"
"But they began spreading wild rumours about steaming in circles . -","1, 4","en"
"But they don't know that I intend to attack them without mercy .","1","en"
"But what I tell [PERSON] to do , she will do .","8, 1","en"
"But you can not do this !","1","en"
"But you do remember this , don't you ?","1","en"
"But you don't hear me complaining .","1","en"
"But you make one slip , just one and we'll see how long you survive in my cage .","1, 2","en"
"But you shouldn't open other people's letters .  ","1","en"
"But you still haven't answered me .","1","en"
"But you're affecting the lives of a lot of other people .","1","en"
"But you're holding something back .","1, 2","en"
"But , [PERSON] , whatever it is that you're going through , we can help you , but you need to ... How the hell would you know what I need ?","1","en"
"Buy it or wreck it !","1","en"
"By Molto . No discussion . Interview .","1, 2","en"
"By most standards , flying all the way to [LOCATION] to look for a new face would seem like going to a lot of trouble .","1, 7","en"
"By next Friday , you'll have your money .","1","en"
"By stepping on a bottle and breaking the heel of my shoe !","1","en"
"By what right do you question me ?","1","en"
"C'mon [PERSON] , we got ta find her before the old lech does .","1","en"
"C'mon [PERSON] , hurry !","1","en"
"[PERSON]'s bugging me .","1, 3","en"
"Call it off , [PERSON] .","1","en"
"Calm down , fam !","1, 3, 4","en"
"Calm down !","8, 1","en"
"Can he be moved !","1, 3","en"
"Can I have my store back , now that she's going ?","1, 2","en"
"Can I just leave my underwear ?","1, 2","en"
"Can you believe it ? It's too tacky .","1, 3","en"
"Can you explain your testimony that there is more stringent posting rules for selling a motorcycle than selling a - year - old ?","1","en"
"Can you tell us why you elected not to go back in and blow up the missiles , Lieutenant ?","1, 2, 3","en"
"Can't do what ?","1","en"
"Can't I do what I think is right ?","1, 3, 6","en"
"Can't make out her name tag .","1","en"
"Can't shoot a kid , can you , fucker ?","1, 3","en"
"Can't you go in there and say something ?","1","en"
"Can't you humor him ? I need a favor .","8, 1","en"
"Can't you see I'm playing pool , bruv ?","1, 7","en"
"Can't you walk faster ?","1","en"
"Can not your brother help ?","1","en"
"Cause I said so .","1","en"
"cause if you take two big bites and just swallow it , It could get stuck in your throat .","1","en"
"Cease fire !","1, 2","en"
"[PERSON] , you had no right to do something like that .","1","en"
"Chill or die , asshole .","1","en"
"Christ ! We've got no alternative .","1","en"
"Christ .","1","en"
"Christ . I don't know what you've been up to , but [PERSON] is pissing fire .","1, 4","en"
"Civilians this time .","1, 3","en"
"Clang had the whole temple transported here for your sacrifice .","1","en"
"Claymore's gonna cut his nuts off faster than a hedge clipper .","1","en"
"Cleaning up your shit .","1, 3","en"
"Clear ?","1","en"
"Close the hatch !","1","en"
"Close your mouth , dear .","1","en"
"Clowns carry horns , little rubber ones .","1","en"
"Cody , please ! You must listen !","1","en"
"Col. [PERSON] has reported the theft of a gold ring . A gold ring .","1","en"
"Collaborating with President [PERSON] is always a mistake .","1, 3","en"
"Come back , here !","1","en"
"Come here !","1, 2","en"
"Come off a rumble , we'd beat the shit out of a gang .","1","en"
"Come off !","1, 2","en"
"Come on , [PERSON] . This is no place for a clergyman's son .","1, 3","en"
"Come on , come on , come on .","1","en"
"Come on , [PERSON] . We got ta move !","1","en"
"Come on , damn it !","1","en"
"Come on , do what I tell you !","1","en"
"Come on , don't just dawdle .","1","en"
"Come on , get on .","1","en"
"Come on , get up .","1","en"
"Come on , honey .","1","en"
"Come on , I'm old enough to be your father .","1","en"
"Come on , it's Christmas .","1, 2, 5, 6","en"
"Come on , [PERSON] , move over .","1","en"
"Come on , Lieutenant . What are the SEALs up to ?","1","en"
"Come on , man . I feel fucked up already .","1, 3, 6","en"
"Come on , [PERSON] , turn yourself in .","1","en"
"Come on , Mr. [PERSON] . Really .","1","en"
"Come on , [PERSON] .","1, 2","en"
"Come on , then !","1, 2","en"
"Come on , this is me you're talking to , [PERSON] ! Come on , [PERSON] .","1, 2","en"
"Come on , what are you fellows gaping at ?","1","en"
"Come on !","1, 2, 4, 5, 7, 8","en"
"Come on ! - [PERSON] !","8, 1, 2, 4","en"
"Come on ! Come on ! - No !","1","en"
"Come on ! You're gonna break your guitar . Come on .","1, 3, 4","en"
"Come on .","8, 1, 3","en"
"Come on . Are we doing this again ?","1","en"
"Come on . Cut it out .","1","en"
"Come on . Go , just go .","1","en"
"Come on . I got a schedule to keep .","1","en"
"Come on . Stop complaining .","1","en"
"Come on . The whole point of these takeovers is to sell off the assets and put old farts like me out to pasture .","1, 3","en"
"Come over here and nobody gets hurt . OK , OK .","1, 2","en"
"Concocted all kinds of false information about weapons of mass destruction which [PERSON] did not have , and it was known in intelligence circles he didn't have .","1, 3","en"
"Congratulations , Rock ...","1","en"
"Congressman [PERSON] is minutes late as usual .","1","en"
"Convince yourself that way .","1, 6","en"
"Coochie ...","1","en"
"Cool it ! Or you're gonna get the same thing your boyfriend got .","1, 2","en"
"[PERSON] , give me the nails over there !","1, 2","en"
"Cops are on strike , stupid .","1","en"
"Copycat !","1","en"
"Could have used this a week ago .","1","en"
"Could you guys shut up in there ?","1","en"
"Could've told the truth , fucked them all , had the cigarette with me . That is such bullshit !","1","en"
"Cover up her mouth !","1","en"
"Coward !","1, 3","en"
"Cross , man , it's gonna cost you .","1","en"
"Cut it out .","1","en"
"Cut out all that talking , [PERSON] .","1","en"
"Cut the conversation .","1","en"
"Cut the shit .","1, 3","en"
"Dad , will you teach me how to fight ?","8, 1, 2, 5","en"
"Dad !","1, 4, 6","en"
"Damn it , get in here !","1","en"
"Damn it , Hob , [PERSON] needs us !","1","en"
"Damn it , shut up !","1","en"
"Damn it , stay back here .","1, 4","en"
"Damn it .","1","en"
"Damn you !","1","en"
"Damn !","1, 6","en"
"Damn .","1, 3","en"
"[PERSON] , you're going too fast .","1","en"
"Darn it , [PERSON] .","1, 3","en"
"[PERSON] hates caffeine .","1","en"
"Dear Senator , have you got any idea what it takes to get a bill passed ?","1","en"
"Decker's been calling again .","1, 5","en"
"Defend yourselves !","1, 4, 7","en"
"Designed to make your life a more annoying place to be .","1","en"
"Dickhead .","1","en"
"Did I hear Lieutenant Junior Grade  ? ","1, 7","en"
"Did I spend 9 , years with matadors not to learn about fear and safety ?","1","en"
"Did it ever occur to you , [PERSON] , that the prince looked everywhere for [PERSON] just so that he could put the shoe back on her foot ?","1","en"
"Did not it have to be resting ? Yes .","1","en"
"Did that nickname have anything to do with the typhoon ?","1, 2","en"
"Did the Lord say : His Pa is a sinner and not meant to be happy ?  - No . ","1","en"
"Did ya ? There was a razorback in my truck !","1","en"
"Did you bring that guy in here ?","1","en"
"Did you ever get my flowers ?","1, 6","en"
"Did you get drunk , dance in your underwear , and sing sea shanties ?","1, 3","en"
"Did you got , like , baby einstein show with him ?","1","en"
"Did you have a warrant to search his trunk ?","1","en"
"Did you hear me ?","1","en"
"Did you hope to go unnoticed here ?","1","en"
"Did you plant the bug ?","1, 2","en"
"Did you really think he would come with you ?","1, 2, 7","en"
"Did you think we don't know about your affair with a government official ?","1, 7","en"
"Did you try to break into [PERSON]'s house the night of the murder .","1","en"
"Did you write me that letter or not ?","1","en"
"Didn't you hear me ? I said go away !","1","en"
"Didn't you tell me to call you in five minutes ?","1","en"
"Die , you bastard !","1","en"
"Die ... damn it !","1","en"
"Divvy bitch !","1, 3","en"
"Do as I tell you !","1","en"
"Do everybody . How soon ?","1","en"
"Do exactly what I tell you and there won't be any problems .","1","en"
"Do I have to find out for yourself ?","1","en"
"Do not be foolish !","1","en"
"Do not leave fingerprints !","1, 4","en"
"Do not lie to me , [PERSON] .","1","en"
"Do not lie you know , [PERSON] .","1, 3","en"
"Do not look . You can touch .","8, 1","en"
"Do not ruin kamoja .","1, 3","en"
"Do not say that .","1","en"
"Do not say to me that I have anything to live for .","1","en"
"Do not talk about that son of a bitch .","1","en"
"Do not think that I do not agree with everything you say , [PERSON] , but I. . .","1, 4, 6, 7","en"
"Do not trifle with your luck .","1","en"
"Do not try to skip !","8, 1, 7","en"
"Do not worry , he does not know anything .","8, 1","en"
"Do people think I'm a carbon copy or a second - rate pretender who only got a shot because of my skin tone ?  ","1, 4","en"
"Do something with yourself for pity's sakes .","1, 3, 7","en"
"Do something !","1, 4","en"
"Do we give the impression of people who are pressed for money ?","1","en"
"Do what he says :","1, 4","en"
"Do what he says .","1","en"
"Do you accuse me , Mr. [PERSON] ?","1","en"
"Do you expect me to believe this ?","1","en"
"Do you have to cheat at everything ?","1, 3","en"
"Do you have to make such a racket ?","1","en"
"Do you know Turn the car around and take me to my hotel  ? ","1","en"
"Do you question my word ?","1","en"
"Do you see how this affects [PERSON] ? You don't ?","1","en"
"Do you think I do ?","1","en"
"Do you think that I have forgotten all that has happened ?","1, 2, 6","en"
"Do you understand what I'm saying ?","1","en"
"Do you want to be a truck driver again ?","1","en"
"Do you wish me to translate [PERSON]'s letter or not ?","1","en"
"Doctor's here to examine you , freak just so no one can say we laid one finger on you .","1","en"
"Does anything ever happen here ?","1","en"
"Does that make you more comfortable ? - Man :","8, 1, 2","en"
"Don't  Your Majesty  me !","1","en"
"Don't a man have a right to know what he's signing on for ?","1","en"
"Don't ask me why .","1","en"
"Don't be an idiot .","1, 3","en"
"Don't be daft !","1, 3","en"
"Don't be fresh , dear .","1, 3","en"
"Don't be nostalgic .","1","en"
"Don't be rummaging through my private documents , [PERSON] .","1","en"
"Don't be sneaking up on me like that .","1","en"
"Don't be so sentimental , [PERSON] .","1","en"
"Don't be such a noodle .","1, 3","en"
"Don't be sure .","1, 3","en"
"Don't be tricked by his devilish voice !","1","en"
"Don't bother to get up I'll take care of myself","1","en"
"Don't bother your daddy now .","1","en"
"Don't bother .","1","en"
"Don't call me commander .","1","en"
"Don't call me .","1","en"
"Don't change the station .","1, 2","en"
"Don't come in !","1","en"
"Don't come no closer !","1","en"
"Don't do anything until you hear from me .","1, 2","en"
"Don't even breathe !","1","en"
"Don't even think about it .","1","en"
"Don't ever do that to me again !","1, 4","en"
"Don't exaggerate .","1","en"
"Don't fight , [PERSON] .","1","en"
"Don't Freud me , [PERSON] . You're not qualified .","1, 3","en"
"Don't fuck me up .","1, 2","en"
"Don't fuck with me on this one , [PERSON] .","1","en"
"Don't fuck with me , you know ?","1","en"
"Don't fucking kill him , we've got business to sort out !","1","en"
"Don't give me that . I know enough about weights and measures to know holes aren't allowed , no corrective holes .","1","en"
"Don't imagine things , [PERSON] .","1","en"
"Don't joke .","1","en"
"Don't kick me , I won't shut up .","1","en"
"Don't kid yourself .","1","en"
"Don't let her order you around .","1","en"
"Don't let that cop get away with this .","1, 3","en"
"Don't listen to him or we'll all be slaughtered .","1","en"
"Don't look at me like that .","1, 3","en"
"Don't look at me with those soft - boiled eggs .","1","en"
"Don't look at me .","1, 4","en"
"Don't make me shoot you .","1","en"
"Don't mess around with it , and it won't mess with you .","1","en"
"Don't mind [PERSON] .","1","en"
"Don't mind them .","1, 5","en"
"Don't move !","1, 2, 4, 7","en"
"Don't need anybody right now .","1","en"
"Don't point that fucking thing at me . Take it off .","1, 3","en"
"Don't pretend you don't know the reason .","1","en"
"Don't push it !","1, 4","en"
"Don't push me too far , [PERSON] .","1","en"
"Don't question my decisions again .","1, 3","en"
"Don't raise your voice to me .","1","en"
"Don't resist us .","1, 2","en"
"Don't ruin it .","1","en"
"Don't run away !","1, 6","en"
"Don't settle for less because you're a whole lot more than that . ","8, 1","en"
"Don't show it to me .","1","en"
"Don't sit down .","1","en"
"Don't slouch .","1, 3","en"
"Don't start that again .","1","en"
"Don't start , [PERSON] .","1","en"
"Don't take me like I'm some corner dealer !","1","en"
"Don't talk like that .","1","en"
"Don't tell me I did that !","1","en"
"Don't tell me that you're above temptation .","1","en"
"Don't tell me to take it easy !","1","en"
"Don't text me .","1, 3","en"
"Don't think I'm too scared of [PERSON]'s gang to do what's necessary .","1","en"
"Don't think my Pa was a pervert then .","1","en"
"Don't touch me .","1, 3","en"
"Don't touch that television !","1","en"
"Don't touch the money !","1","en"
"Don't try and tell me the runway's too short .","1","en"
"Don't try to be so sarcastic .","1","en"
"Don't try to change the subject .","1","en"
"Don't try to tell me my business .","1","en"
"Don't walk away from me .","1","en"
"Don't want any more of that .","1","en"
"Don't waste my time , comrade .","1","en"
"Don't you call my husband names !","1","en"
"Don't you dare turn that off !","1","en"
"Don't you dare .","1","en"
"Don't you doubt Miss [PERSON]'s word !","1","en"
"Don't you ever say that to me again .","1, 3","en"
"Don't you forget that I'm still the headman around here , too .","1","en"
"Don't you get it ?","1","en"
"Don't you have any idea where you're going ?","1, 4","en"
"Don't you know it's bad to light forest fires ?","1, 3, 7","en"
"Don't you raise your voice to me !","1","en"
"Don't you recognize me ?","1, 7","en"
"Don't you say a word unless I ask you to .","1","en"
"Don't you see me standing right here ?","1","en"
"Don't you see they don't need you ?","1","en"
