"text","labels","lang"
"I want to talk to you .","8","en"
"You'll have to cut us some slack.","9","en"
"Tulenko mukaasi?","8","fi"
"It's me Elizabeth from Workout World.","9","en"
"Well , you know , there wasn't much we could do .","6","en"
"Hän on kuollut.","4","fi"
"Kaikki on hyvin!","5","fi"
"Vain kaksi annosta sir. Se tekisi neljä.","9","fi"
"He ovat ahkeria.","8","fi"
"Haloo?","9","fi"
"Tiedät systeemin.","9","fi"
"[PERSON] , turn me in if you want to . But this is over the line .","1","en"
"Military?","9","en"
"You fall for a fruit man , you run off and marry him . Boy June , you really know how to pick them .","2, 5","en"
"Nähdään!","9","fi"
"I've got cookies !","5","en"
"Rouva Balboa ilmestyi!","5, 7","fi"
"Let me explain something to you .","8","en"
"It was dismissed. - She saw the mother and...","9","en"
"And then three weeks ago I suffered a nervous breakdown .","6","en"
"Everyone was in mourning .","6","en"
"How about paying for something you drop by accident ?","3","en"
"This licence has expired.","9","en"
"I really missed you .","6","en"
"That's why I do things ... to feel good .","5","en"
"Don't come back here  - that's a bit like saying :  Do not read this note  . ","3","en"
"Ehkä äitisi lakkaa holhoamasta sinua kun kasvat aikuiseksi.","9","fi"
"Poor child .","6","en"
"Tell miehistäsi.","9","en"
"Will succeed .","8","en"
"Where does that put us ?","2","en"
"Teidän lomanne saa nyt odottaa.","1","fi"
"We've made our decision.","9","en"
"En ollut mustasukkainen.","1","fi"
"Mind your head.","9","en"
"Mitä puuhaat?","9","fi"
"Stay away from me !","1, 3, 4","en"
"You murdered your own brother . - You murdered your brother .","3, 4, 6","en"
"Okay.","9","en"
"Filth making filth , making filth .","3","en"
"The next day I call Samantha Kiles.","9","en"
"Emmekö olekin samaa mieltä?","8","fi"
"Oh , no , no , no .","7","en"
"He eivät ryttyile enää kenellekään.","8, 2, 5","fi"
"Hän ampui veljeään silmään pastalautasen ääressä.","4","fi"
"Mr President , what happens to me in the morning ?","4","en"
"Hey , you two with the mileage upgrades , sit down .","1","en"
"Oli oikein hauskaa jutella kanssasi.","8, 5","fi"
"collect the scratch! - What about him?","9","en"
"Rauhoitu pikku kaveri.","9","fi"
"Everything gets easier from now on .","5","en"
"I'll be out in a minute. - There's no hurry.","9","en"
"And that scares the shit out of me , kid .","4","en"
"Hei Ruusunen.","9","fi"
"I have heard of the arrogant male in capitalistic society .","3","en"
"Cane oli virallinen mestari.","9","fi"
"Anna minun päättää, mitä teen sillä.","1","fi"
"I have information for you .","2","en"
"I was going nearly crazy 'cause I couldn't find Little Sheba .","4","en"
"Siinä ei ole mitään häpeämistä.","9","fi"
"Huijaamme kuvakulmilla.","2","fi"
"Hän osti ne päivä sen jälkeen, kun hänet nimitettiin senaattiin - ja käyttää täten virka-asemaansa henkilökohtaiseksi hyödykseen.","3","fi"
"Milloin se tapahtui?","9","fi"
"Come , let's go get that automobile .","2","en"
"Siihen kuuluu jopa lato!","7","fi"
"Siirrytään eteenpäin hyvät naiset ja herrat.","9","fi"
"We'd love to .","2, 5","en"
"Let us board!","9","en"
"Älkää tulko sisään.","1","fi"
"You break in here , and you tell me you think [PERSON]'s a murderer .","3","en"
"That's real fine .","5","en"
"Yeah go on.","9","en"
"[PERSON] , my dear !","5, 7","en"
"Juliette?","9","en"
"Vaaransit meidät kaikki rakastettusi takia.","1, 4","fi"
"Ain't no way in the world I'm goin' up that path .","4","en"
"Here in the wilderness you have turned defeat into victory .","5","en"
"Please , I'll go to the old ladies ' home if you don't do something .","4","en"
"That kind of love isn't enough for two people as different as we are .","6","en"
"Ja nyt on keskiyö.","9","fi"
"En välitä Pragerista!","1","fi"
"Mr. [PERSON] , you're playing with fire .","4","en"
"I'm not talking about romance . I'm just talking in general .","2","en"
"Sinun vuorosi seuraavaksi.","2","fi"
"You and I are such similar creatures.","9","en"
"So much for old business.","9","en"
"It's a new car .","7","en"
"Kiitos tiedosta.","8","fi"
"The show is about to commence .","2","en"
"Saat minut voimaan pahoin, kun puhut, Morris.","3","fi"
"Your mom's having a stroke or menopause or something .","3","en"
"Do you have any idea when it'll be ready ?","2","en"
"Please , we need help !","4","en"
"It was them that fucked up .","1","en"
"How do you mean that ? And now you will laugh .","6, 7","en"
"Valmiina.","9","fi"
"Here it comes .","2","en"
"Did I say something wrong ?","6","en"
"Uncle Bob?","9","en"
"Mistä ne tulevat?","9","fi"
"Älkää, herra Texador.","4","fi"
"Missä Cain on?","9","fi"
"Charles?","9","fi"
"I'll have my work all finished by the time you get there .","2","en"
"Mitä hittoa tämä on?","1","fi"
"And if there was , I sure as hell wouldn't tell you , colonel .","1","en"
"She haunts my dreams... just kidding.","9","en"
"Father .","2","en"
"This afternoon I want you to fly to [LOCATION] and see the distributors .","2","en"
"Quiet types interest me .","5","en"
"I want you to meet this young lady , okay ?","2","en"
"You must love that guy to do what you did for him.","9","en"
"Sorry , [LOCATION] .","6","en"
"Eikö hän olekin söpö?","5","fi"
"The press release said that you were taking a leave to consider your career options .","2, 5","en"
"Honestly , [PERSON] . What is the matter with you tonight ?","1","en"
"I was in a shop once , and I saw a postcard with a beautiful house on it , right by the sea .","5","en"
"He knew what it would be like with us.","9","en"
"Tai mieheni ei olisi pitänyt.","9","fi"
"Menetän puolet myyntiprovisioista, jos en ehdi kokoukseen.","4","fi"
"Se narttu oli tappaa minut.","1","fi"
"Sinähän olet kiinnostunut vääryyksistä.","3","fi"
"En aio enää kauaa sietää tätä.","9","fi"
"I would do anything for the woman that I love .","8, 5","en"
"Minä johdan kokousta, Bob.","1","fi"
"Big house , three cars , beautiful wife .","8, 5","en"
"Herrasmies.","9","fi"
"He'll be all right .","5","en"
"Minun on neuvottava Rustya olemaan vastaamatta vaikka hän selvästi haluaisikin.","9","fi"
"Tähän asti sinulla oli helppoa, leikit rosvoa ja pollaria, piditjatkuvia kahvitaukoja.","1, 3","fi"
"Hyvää illan jatkoa, mr Howard.","5","fi"
"Maistuisiko sinulle muutama valtaisa kotkanmuna?","9","fi"
"What's the matter with you ? What happened ?","7","en"
"Come on , come on , don't drop it ...","8, 4","en"
"Miten niin pilaisi?","6","fi"
"of establishing their dominion in full-spectrum dominance over the planet.","9","en"
"Hän nostaa mielipiteet meitä vastaan.","4","fi"
"Ronson?","9","en"
"You're gonna be a father .","2, 5","en"
"He isn't half the father you were .","8, 3","en"
"Kuten esimerkiksi?","9","fi"
"Everything's gonna be okay .","8","en"
"Minusta on.","9","fi"
"What the hell you doing ?","1","en"
"Birth of some issues right there .","6, 7","en"
"Mitä tiedät tuosta tytöstä?","9","fi"
"He doesn't think the forensic chemist will be able to ID the spermicide .","4","en"
"Raivohullut ovat siellä.","3","fi"
"Etkö ollut marssilla?","7","fi"
"We'll make the deal .","8","en"
"Queeg was sick.","9","en"
"I don't think I'll be able to join you fellows after all .","6","en"
"Hyvä on, tapaan hänet heti.","2","fi"
"I got a run of three .","5","en"
"Tara Liston valokuvamalli.","9","fi"
"I can't start acting like a father now .","4, 6","en"
"They knew who we were. just not what we were.","9","en"
"She stood for justice .","8, 5","en"
"Spectacles , testicles , wallet and watch .","2","en"
"I can't believe this is you , [PERSON] .","7","en"
"The day is warm and bright","5","en"
"Miksi tämä ilta eroaisi muista?","7","fi"
"En voi uskoa tätä!","7","fi"
"Tarvitsetko apua?","9","fi"
"This is the captain speaking.","9","en"
"I had them both beat with a pair of fives.","9","en"
"I'll protect you .","8","en"
"What's the problem?","9","en"
"Tarjoamme asiakkaille mahdollisuuden kontrolloida tunneelämänsä jokaista puolta.","9","fi"
"Yritätkö tapattaa minut?","4","fi"
"Minä tulen takaisin.","2","fi"
"Fantasiassa tehdään vahvoja portteja eikö niin?","9","fi"
"Well I wrote...","9","en"
"What's the LITMO?","9","en"
"Olisit voinut tehdä pahempaakin.","8","fi"
"Mikä täällä kestää niin kauan?","4, 7","fi"
"Välitän vain vallasta ja rahasta.","1","fi"
"Eikö niin, Grimm?","2","fi"
"I don't get your generation's humour .","3, 6, 7","en"
"To have to hear it in installments might prove unendurable .","6","en"
"How about the movies ?","2","en"
"Damn it , stay back here .","1, 4","en"
"I would like you to meet my son Junior.","9","en"
"Yeah , but you're going to win .","2","en"
"Oikeus huomioikoon, että koko puolustukseni - rakentuu käsitykselle, että naissukupuolen edustajia - tulee kohdella lain edessä samoin kuin miessukupuolen edustajia.","1","fi"
"Kohta näet.","8, 2","fi"
"Pysy vaiti. Hän antoi sinulle viikon.","1","fi"
"Kuulostatte päämäärätietoiselta.","9","fi"
"En ollut hyvä taiteilija.","6","fi"
"Tonight.","9","en"
"Oh yeah , that's you .","3","en"
"Pysähdy!","9","fi"
"Is it green the earth in America?","9","en"
"Kun alat uskoa huumeita myyvää kusipäätä mieluummin kuin Mikeä, minä luovun virkamerkistäni.","1, 3","fi"
"Yritetään löytää hänelle paikka.","8, 2","fi"
"Hän haluaa tavata sinut.","9","fi"
"Fine , except I'm scared to death .","4","en"
"Ruumiita ripustettuina ruumiita joiden nahka on nyljetty pois sydämet revitty rinnoista.","9","fi"
"Anteeksi, Cameron.","2, 4, 7","fi"
"If I'm going to vote , I ought to study some of the bills .","2","en"
"Make your wish .","8, 2, 5, 7","en"
"Muistatteko sen laulun, minkä englantilaissotilaat keksivät?","5","fi"
"You understand what that would mean .","8","en"
"Tuo on täydellinen.","8, 2, 5","fi"
"You've got to keep him off us .","4","en"
"Yes , of course .","8","en"
"Mitä sinä haluat Quinn?","9","fi"
"Kiitos mr Thompson.","9","fi"
"Hei.","9","fi"
"All I care about is power and money .","2","en"
"But no more odd , surely , than my driving away that day , away from her , knowing that , inevitably , we would meet again .","8","en"
"Et ota yhteyttä kehenkään.","9","fi"
"Let's go , gentlemen .","2","en"
"It's my mission , for six months ... Shut it !","1","en"
"I don't know what a Snap Dog is .","1","en"
"We got room down in the basement.","9","en"
"Ette siis halua, että perheenne tietää tästä.","7","fi"
"You've gone too far !","7","en"
"Kaikki.","9","fi"
"Hän on aerobik-kuningatar.","5, 7","fi"
"I didn't like him anyway .","1","en"
"Järjestyksenvalvoja.","9","fi"
"What is your name miss?","9","en"
"He's taking the day off ?","7","en"
"Am I sure ?","4, 7","en"
"Three hours.","9","en"
"Minä taas kuulin, että hän oli vakooja sodan aikana.","4","fi"
"Where is he?","9","en"
"Antakaa minun selittää.","1, 6","fi"
"Unfortunately , Professor [PERSON] is dead .","6","en"
"Voisitko antaa minulle suoran vastauksen?","1, 6","fi"
"So there really is someone named [PERSON] -[PERSON] !","7","en"
"No niin rauhallisesti nyt.","9","fi"
"Ja ajakaa nuo karmeat viikset pois.","3","fi"
"Graham sanoi että hän toimittaa George Brewsterin paketin.","9","fi"
"The tour was very interesting .","5","en"
"Dallasista vai Tulsasta?","9","fi"
"Se on hyvin yksinkertaista.","5","fi"
"Tämä oli toinen kahdesta kerrasta jolloin häneltä löytyi piilotettu ase.","9","fi"
"Mitä sanoit kun joku pani pääsi ruuvipuristimeen?","9","fi"
"He's so damn mean , he can't get along with anybody .","3","en"
"Kaikki muu kellarissa oli pölyistä.","9","fi"
"How does he end his letter ?","2","en"
"Hän pitää lupauksensa Dantelle omalla tavallaan.","8","fi"
"Tämä on ihana.","5","fi"
"Mutta ase ampuu kuolemaaja puhdistaa maailman raakalaisista.","3","fi"
"Tämä tekee kipeää, Charlotte.","6","fi"
"It means I haven't forgotten whose court I'm on .","1","en"
"Nancy Aglet!","9","fi"
"Tässä talossa on oltava aseita.","2, 4, 6","fi"
"Somebody help me , please .","4","en"
"Ikävä kyllä lehdisto sai kuulla onnettomuudesta ja pidätyksestä.","9","fi"
"Sinä siis tunnet hänet.","2, 7","fi"
"What's he saying?","9","en"
"Beck, joka tunnetaan Rusettitappajana, saatiin tänä iltapäivänä kiinni. Hän on matkalla takaisin liittovaltion vankilaan.","5","fi"
"Kaupunki jossa olisi lentokenttä.","9","fi"
"Aikaan puolen yön aaveet ja henget - käy yhdessä tanssiin öiseen.","4","fi"
"Niillä on hallussaan täydellinen ase hyökkäysten tekemiseen.","9","fi"
"We sent the messages !","2","en"
"We should celebrate this with a bottle of wine .","5","en"
"Tämäkö?","9","fi"
"I for example.","9","en"
"Aika alkaa loppua.","3, 4","fi"
"Meinaan jäädä tänne yritän etsiä jotain hauskaa.","9","fi"
"I haven't any friends , [PERSON] .","6","en"
"Kuvittele!","9","fi"
"Se näyttää kuninkaalta.","9","fi"
"Soita Dukelle.","9","fi"
"I'm gonna kill it .","1, 2, 3","en"
"Hän otti minut suojelukseensa eroni jälkeen.","8, 6","fi"
"Kuningas on täällä.","9","fi"
"I don't care .","3","en"
"Now.","9","en"
"Meidän pitäisi lähteä ennen kuin on liian myöhäistä.","9","fi"
"Puolasta tulleet vanhempani lauloivat erästä laulua.","9","fi"
"Minä upseerieni kanssa vastaan miesteni käytöksestä.","8","fi"
"Hänet on ruodittu kuten kala.","9","fi"
"That's him .","1","en"
"[PERSON] ... ?","7","en"
"Mitä tämä on? He ovat poissa.","1","fi"
"Johan nyt!","7","fi"
"What a strange - looking dogl","7","en"
"Tule takaisin Hu, et voita häntä.","4","fi"
"Was the city trying to strike a deal with the drug lords ?","1, 4, 7","en"
"Kun hän lopetti valamiehet uskoivat että se musta poikarukka oli raiskannut heidän äitinsä.","9","fi"
"Se on revennyt.","9","fi"
"You see that man giving screwface to [PERSON] ?","2, 3, 6, 7","en"
"Can't you go in there and say something ?","1","en"
"Haven't you heard ?","2","en"
"Heillä on täällä aikamoinen järjestelmä.","7","fi"
"Kivat kannut. Muistan.","9","fi"
"But [LOCATION]'s a horrid place .","6","en"
"Menetin taas miehen ja hänestä se on hauskaa.","3","fi"
"Do you like the song ?","2, 5","en"
"Flo halusikin aina matkustella.","6","fi"
"Now , you mind if I dance with your wife ?","2","en"
"None sir.","9","en"
"The fun is over .","6","en"
"Rusty Sabich menee soittamaan nykyisille liiketuttavillesi - että yritit päästä lahjomalla poliisin ahdistelusyytteistä.","6, 7","fi"
"So I'm just asking you ... to be with me .","8","en"
"Herra Inglethorp saapui.","9","fi"
"In fact , I'm not doing anything tomorrow .","2","en"
"Hankkisit sokean kepin.","1, 3","fi"
"Hei, hieno taskulamppu.","5, 7","fi"
"Ja haluan kaksi Jet Ranger helikopteria tänne kadulle.","9","fi"
"Me emme selviä tästä.","4, 6","fi"
"Some of them you only wait a couple weeks.","9","en"
"Mihin hän kosketti sinua?","1, 3","fi"
"Stop putting on that gear !","1, 7","en"
"Mitä voimme tehdä hyväksesi Teidän Majesteettinne?","9","fi"
"Lieutenant can't let you in.","9","en"
"Kierähdänkö selälleni, jotta voit rapsuttaa vatsaani?","3","fi"
"An engineer ?","7","en"
"Odotammeko vieraita?","9","fi"
"Remarkably Justice David Souter formerly a Supreme Court Justice will be one of three judges hearing the case.","9","en"
"He's no machine.","9","en"
"Ei, señor.","1","fi"
"Who in the world can do that ?","1, 7","en"
"Hyvä on tehdään se.","9","fi"
"Minulla on vielä paperitöitä.","9","fi"
"Tuo kuulostaa mukavalta.","5","fi"
"Sano se.","9","fi"
"Sinun pitää hymyillä.","9","fi"
"Cameron.","9","en"
"Panttivankineuvottelija on tulossa.","9","fi"
"Naiset ovat viehättäviä. Jos en harjoittaisi itsehillintää energiani häviäisi.","9","fi"
"Damn it .","1","en"
"Sanoit että rakastat minua, että rakastaisit aina.","8, 6","fi"
"Nothing will ever happen to me anymore !","5","en"
"The Miss [PERSON] ? I don't believe it . My brother , [PERSON] , told me all about you .","7","en"
"Ja minun laboratoriossani ei laiteta tuollaisia aivoja minun kyborgiini.","3","fi"
"Naimisiin menon jälkeen.","9","fi"
"Aseidenriisunnasta.","8, 2","fi"
"That's because I don't have any.","9","en"
"Ai joo.","9","fi"
"Minun vuoroni!","9","fi"
"Kuusituhatta.","9","fi"
"I can turn myself on a dozen different ways .","2, 5","en"
"My brother seems to have forgotten his courtliness .","3","en"
"Pankin omistajat pyysivät sanomaan että heiltä on turha odottaa apua.","9","fi"
"I wonder if there are any kites around here we can fly .","2","en"
"I - I'm in here .","4","en"
"Absolutely hilarious .","5","en"
"Hello . - Never , ever pick up the phone .","1, 4","en"
"Mario miksi lavertelit?","9","fi"
"Did you hear that professor?","9","en"
"Uskon että Jakov on hieno ja tärkeä mies joka yrittää tulla samanlaiseksi kuin ennen eikä selviä ilman apuani.","9","fi"
"Yritä edes.","1, 6, 7","fi"
"Oh , thank you . Yes !","5","en"
"I'm not available .","1, 3","en"
"Oh , did I ? Uh , I am .","7","en"
"Old man why are you carving my name?","9","en"
"Australiaanko?","9","fi"
"Heillä oli konepistoolit.","4","fi"
"You won't take my check . I'll say .","1","en"
"Mä sanoin, että voit antaa hänelle kaiken paitsi itsesi.","7","fi"
"Onko tämä aseenne sir?","9","fi"
"Narkkariäitejä, saastaista verta.","3","fi"
"Senkin liukas liero.","3","fi"
"Obviously.","9","en"
"Don't be a fool , woman .","3","en"
"I'll do it .","8","en"
"He ovat sinua vastaan ja minua.","9","fi"
"So do you draw all the dads and their kids ?","2","en"
"He says that he's looking at a giant asshole from [LOCATION] .","3","en"
"Eat all of your stew children.","9","en"
"They've all left their tire tracks on the desert roads .","7","en"
"What do you see?","9","en"
"Tiedätkö, joskus ällistytän itseänikin.","5, 7","fi"
"Yeah that's... that's Nemo's base.","9","en"
"Kaipaatko niitä?","9","fi"
"Nyt Iähdetään rantaa kohti.","9","fi"
"Ehkä Jumala sanoo meille jotain.","9","fi"
"Yes ?","2, 7","en"
"Do you have a cup or something that I can put it in?","9","en"
"In the 23?","9","en"
"Älä vetkuttele, hän ei viivy kauan.","1","fi"
"Might take a few days to finalize , but yeah . It's happening .","2","en"
"Naisen rakastaja tuli käymään.","9","fi"
"Hei minä tässä Mike Brennan.","9","fi"
"Ei se mitään.","9","fi"
"Hyvä on ehkä mäkin viisastun joskus.","9","fi"
"If you ask you're going to get an absolute no .","1","en"
"I've got it.","9","en"
"And what makes you think that note would interest me ?","1","en"
"You ain't calling the tune !","1","en"
"Kiitos, kiitos, kiitos.","8","fi"
"Chase?","9","en"
"Ota minut nyt!","9","fi"
"[PERSON] , what's happenin' here ?","7","en"
"Ornery as a mule just like Owen. -l heard that!","9","en"
"What goes on?","9","en"
"We thought you'd be safer on the ground .","8","en"
"Munkeilla on maagisia voimia.","9","fi"
"I mean , isn't that enough ?","1, 3","en"
"Ole hiljaa ja kuuntele.","1","fi"
"Miten sivilisaatio säilyy - jos se antaa naisen laittaa tuollaisen päähänsä?","3","fi"
"Pysäyttäkää hissi!","4","fi"
"Odotan teiltä suuria.","2","fi"
"Sain tietenkin käsikirjoituksen.","7","fi"
"Hyvä ihme!","1, 3, 7","fi"
"That's what it says.","9","en"
"I do know where Brazil is.","9","en"
"Barley's got three chances to make contact .","8","en"
"Vastaus kysymykseen on kyllä.","9","fi"
"Paska!","1, 3","fi"
"We're opening a store and a bank , aren't we , [PERSON] ?","2","en"
"Sinä olet aina royhkeä ja ylemmyydentuntoinen.","1, 3","fi"
"They ain't going to expedite it for me .","1","en"
"Pysäyttäkää hetkeksi!","9","fi"
"Suspicious old goat .","3","en"
"You shut up , Dude , and listen to me .","1","en"
"Try the freeze  curse ! ","2","en"
"No , I don't guess it is .","7","en"
"I'd only mess that up too .","6","en"
"Oletko kunnossa?","9","fi"
"Mikä tämä haju on?","3","fi"
"Vitun-Voodoo taikaa.","1, 3","fi"
"Roberto.","9","fi"
"Ehkä Faith meni kotiin.","9","fi"
"You got a line on Montalvo and his corn-hole buddy Jose?","9","en"
"All the other depositions they're not in the files.","9","en"
"Let's kill him now .","1, 3","en"
"It is not at home.","9","en"
"Moi Tod.","9","fi"
"Irti!","1, 3, 4, 7","fi"
"Vain haistaa.","9","fi"
"Get a bat , that's a boy .","1, 5","en"
"What others?","9","en"
"I saw it as a chance to make amends for my past mistakes.","9","en"
"Olet lokoisa.","5","fi"
"Tunstall lainasi Raamattunsa, jotta voin harjoitella lukemista.","8","fi"
"[PERSON] , what's the most recent communication we've received ?","4","en"
"I didn't know anybody was going to be killed .","4","en"
"Luulin jo hetken, että olet mies.","3","fi"
"You don't go by regulations.","9","en"
